"BehaviorSpace results (NetLogo 6.0.4)"
"behaviour-field7.nlogo"
"Sensitivity-asoc"
"07/22/2019 09:33:27:297 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","rebound","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"88","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.32628885637197447","0.6805751783057359","0.1416131287631014","0.1393193683162435","94","206"
"89","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5584299220016469","0.4377252014253048","0.17468205684675697","0.17806592561897425","172","128"
"87","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6753577667038781","0.3280755908163555","0.16004610442815487","0.1545809377144364","213","87"
"91","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5064998247391149","0.517982363567464","0.2322718176927284","0.23807840880150732","137","163"
"90","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4122662943781685","0.5778048523400552","0.2088940483070918","0.21075821984211518","122","178"
"92","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6872964739056806","0.3098209067260497","0.1609862009269681","0.15447865399351215","204","96"
"94","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5572411317286244","0.4316079294216263","0.2149843769827255","0.21496091231819828","183","117"
"95","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4077428347473085","0.5879239982409323","0.21219632896835391","0.21808535832762171","117","183"
"93","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4941940581721485","0.5185538865427077","0.2121567048040196","0.22210213027314982","134","166"
"96","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.39304758142696533","0.6146109510315995","0.18410308258358302","0.17599066632060809","122","178"
"97","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5138822086593545","0.48277194166225296","0.2170489864847276","0.2085339355828412","148","152"
"98","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5786107125441706","0.40679485530855525","0.19268009690768306","0.18676998519638996","179","121"
"101","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5136532035549124","0.49470548715049434","0.19635513730095305","0.21317186100217755","158","142"
"99","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5684920123433063","0.425315840425278","0.20840919343478592","0.19968705348070626","166","134"
"100","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.40192172260381337","0.603753239917396","0.1925720886645966","0.18898559547694557","123","177"
"102","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4754713778312269","0.5184516401293563","0.23013052184840432","0.23209980331758076","132","168"
"104","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.44353291962269176","0.5586138081713483","0.20695783745376276","0.2074669586725078","136","164"
"103","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6320752734367319","0.3740159133428557","0.17550185670134985","0.1837564231780238","207","93"
"105","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5662195583343249","0.44515032405474597","0.2180735238310354","0.2232687970189002","171","129"
"106","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4095691870826146","0.6005246335687856","0.19596468683834248","0.1901043186036712","125","175"
"107","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4004830594453888","0.612171209799773","0.22655857850418354","0.2244713331011718","112","188"
"109","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.42415395560346797","0.561479712930929","0.2051668908993035","0.19792706251490694","110","190"
"108","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4056308686195432","0.5779006885638004","0.21223173770154402","0.20830226674916766","124","176"
"110","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.30396896228305753","0.6991985039209868","0.14474901166173104","0.15468167307482547","80","220"
"111","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5938782170090043","0.3995955354578045","0.17968433504886935","0.1711090863254083","198","102"
"112","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5056278866275702","0.48716371931768415","0.18476630727320673","0.18129737769098536","149","151"
"113","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.3338198477169377","0.6686183344473546","0.15683272766228512","0.16005956082660314","102","198"
"115","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.723965771836862","0.29133588975160696","0.12390742682493058","0.13933759514819408","225","75"
"114","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4276852960789127","0.5861623173304138","0.2173862364628305","0.21692317783441273","125","175"
"117","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4392508890237884","0.5465239713267361","0.18738734818678804","0.1850511943790867","122","178"
"116","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5442139810201359","0.4615999872433858","0.19937121170974453","0.2008284091496235","162","138"
"118","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6268637287989283","0.3883451826259472","0.18590960065088036","0.18514797519757717","187","113"
"119","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.42489949467469285","0.5889803196802166","0.22210339332749754","0.21790302206585516","114","186"
"120","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.30202122573724094","0.6928478264217354","0.15511331712058135","0.1533916805860183","82","218"
"121","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.3648008611727794","0.635855162174441","0.1907726488593805","0.18735018776980203","111","189"
"122","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6687001274110607","0.3254656999676836","0.15596097979935045","0.1553164806980359","190","110"
"123","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5849385669698384","0.43220188259114706","0.18692268512818494","0.19236060498488727","166","134"
"125","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4562549721687523","0.5474365825041309","0.2035034527359105","0.195326632004493","140","160"
"124","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4895499907140841","0.5306868520910445","0.2203195061643245","0.21669997373474997","141","159"
"126","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4422423437866266","0.5547707415589609","0.19974413469264582","0.1949243301894189","143","157"
"127","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.573256460128007","0.4253176597571428","0.21487257020095638","0.21792207076080522","187","113"
"128","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5036940825639408","0.49631718711196676","0.21806837157658693","0.21314703535380125","156","144"
"129","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6179096012629874","0.3793363697006536","0.17976935049339302","0.18679978125353142","187","113"
"130","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6887704765504704","0.31349168654273646","0.15220824012997466","0.15230592957176184","210","90"
"131","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5341803157368892","0.48001604218874167","0.23053469088164993","0.23106715422639715","160","140"
"132","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.7085476889231802","0.29406876315228675","0.12846013809018716","0.12733526791004654","222","78"
